datetime,device_name,frequency,humidity,latitude,longitude,network,pm2_5,pm2_5_calibrated_value,site_name,temperature
2026-01-27 02:00:00+00:00,aq_g501,hourly,0,0,0,airqo,10.76,10.76,Makerere University Weather Station 94,0
2026-01-27 03:00:00+00:00,airqo_g5341,hourly,,0.333486571,32.568557,airqo,31.46,31.46,Makerere University Weather Station 94,22.61
2026-01-27 03:00:00+00:00,aq_g501,hourly,0,0,0,airqo,13.22,13.22,Makerere University Weather Station 94,0
2026-01-27 04:00:00+00:00,airqo_g5341,hourly,,0.333503,32.568497,airqo,43.23,43.23,Makerere University Weather Station 94,22.61428571
2026-01-27 04:00:00+00:00,aq_g501,hourly,0,0,0,airqo,15.08,15.08,Makerere University Weather Station 94,0
2026-01-27 05:00:00+00:00,airqo_g5341,hourly,,0.333567167,32.56851867,airqo,50.26,50.26,Makerere University Weather Station 94,23.24333333
2026-01-27 05:00:00+00:00,aq_g501,hourly,0,0,0,airqo,14.35,14.35,Makerere University Weather Station 94,0
2026-01-27 06:00:00+00:00,airqo_g5341,hourly,88.402,0.33358,32.568523,airqo,48.3,48.3,Makerere University Weather Station 94,26.21
2026-01-27 06:00:00+00:00,aq_g501,hourly,0,0,0,airqo,67.85,67.85,Makerere University Weather Station 94,0
2026-01-27 07:00:00+00:00,airqo_g5341,hourly,68.63666667,0.33358,32.568523,airqo,37.92,37.92,Makerere University Weather Station 94,30.67666667
2026-01-27 07:00:00+00:00,aq_g501,hourly,0,0,0,airqo,13.45,13.45,Makerere University Weather Station 94,0
2026-01-27 08:00:00+00:00,airqo_g5341,hourly,68.10571429,0.33358,32.568523,airqo,27.73,27.73,Makerere University Weather Station 94,28.99714286
2026-01-27 09:00:00+00:00,airqo_g5341,hourly,61,0.333496286,32.56855386,airqo,21.59,21.59,Makerere University Weather Station 94,31.58
2026-01-27 09:00:00+00:00,aq_g501,hourly,0,0,0,airqo,14.45,14.45,Makerere University Weather Station 94,0
2026-01-27 10:00:00+00:00,airqo_g5341,hourly,62.64714286,0.333487,32.568516,airqo,17.86,17.86,Makerere University Weather Station 94,30.93571429
2026-01-27 10:00:00+00:00,aq_g501,hourly,0,0,0,airqo,13.11,13.11,Makerere University Weather Station 94,0
